iter	Passed	Remaining
405	6889	10079
406	6903	10058
407	6924	10047
408	6937	10023
409	7099	10216
410	7277	10428
411	7522	10735
412	7814	11107
413	8192	11596
414	8504	11987
415	8912	12512
416	9396	13136
417	9670	13465
418	9910	13742
419	10121	13976
420	10293	14157
421	10458	14325
422	10725	14630
423	10985	14923
424	11238	15205
425	11449	15426
426	11693	15691
427	11826	15806
428	12021	16000
429	12216	16194
430	12465	16457
431	12661	16647
432	12890	16879
433	13153	17154
434	13400	17405
435	13616	17613
436	13785	17760
437	13803	17710
438	13825	17667
439	13845	17621
440	13861	17570
441	13879	17521
442	13898	17475
443	13917	17428
444	13949	17397
445	13985	17371
446	14004	17325
447	14017	17271
448	14064	17259
449	14113	17249
450	14141	17214
451	14167	17176
452	14187	17131
453	14205	17084
454	14223	17037
455	14246	16995
456	14266	16951
457	14295	16916
458	14314	16871
459	14337	16830
460	14366	16797
461	14388	16755
462	14411	16715
463	14432	16671
464	14462	16639
465	14500	16616
466	14519	16571
467	14553	16543
468	14587	16515
469	14606	16471
470	14626	16427
471	14644	16381
472	14675	16351
473	14697	16310
474	14732	16283
475	14748	16235
476	14774	16199
477	14807	16170
478	14826	16126
479	14850	16087
480	14872	16047
481	14888	16000
482	14902	15951
483	14936	15923
484	14955	15880
485	14972	15834
486	14991	15791
487	15010	15748
488	15029	15705
489	15051	15665
490	15074	15627
491	15125	15617
492	15145	15575
493	15155	15523
494	15187	15494
495	15200	15445
496	15211	15394
497	15223	15345
498	15240	15301
499	15257	15257
500	15273	15212
501	15279	15158
502	15296	15114
503	15318	15075
504	15347	15043
505	15364	15000
506	15381	14956
507	15398	14913
508	15418	14873
509	15440	14835
510	15456	14790
511	15498	14772
512	15519	14733
513	15540	14693
514	15556	14650
515	15593	14626
516	15615	14588
517	15633	14547
518	15649	14504
519	15667	14462
520	15679	14415
521	15694	14371
522	15709	14327
523	15725	14284
524	15767	14266
525	15788	14227
526	15802	14183
527	15812	14135
528	15833	14097
529	15852	14057
530	15871	14018
531	15886	13975
532	15903	13934
533	15922	13894
534	15936	13851
535	15962	13818
536	15985	13782
537	16012	13750
538	16032	13712
539	16054	13676
540	16078	13641
541	16106	13610
542	16132	13577
543	16153	13540
544	16174	13503
545	16200	13471
546	16224	13436
547	16252	13405
548	16262	13359
549	16273	13314
550	16297	13280
551	16318	13243
552	16339	13207
553	16348	13161
554	16379	13132
555	16408	13102
556	16418	13058
557	16432	13016
558	16456	12982
559	16492	12958
560	16506	12916
561	16519	12874
562	16531	12831
563	16549	12793
564	16573	12760
565	16591	12722
566	16621	12693
567	16633	12651
568	16659	12619
569	16675	12579
570	16698	12546
571	16722	12512
572	16758	12488
573	16778	12452
574	16797	12415
575	16847	12401
576	16865	12364
577	16879	12323
578	16924	12305
579	16958	12280
580	16992	12254
581	17026	12228
582	17039	12187
583	17055	12149
584	17075	12113
585	17094	12077
586	17132	12054
587	17146	12014
588	17164	11977
589	17179	11938
590	17195	11899
591	17210	11861
592	17221	11819
593	17239	11783
594	17253	11744
595	17272	11707
596	17288	11670
597	17298	11628
598	17312	11590
599	17330	11553
600	17349	11518
601	17364	11480
602	17386	11446
603	17402	11409
604	17421	11374
605	17440	11339
606	17458	11303
607	17477	11268
608	17493	11231
609	17509	11194
610	17529	11160
611	17547	11124
612	17562	11087
613	17573	11048
614	17593	11013
615	17620	10984
616	17633	10945
617	17647	10908
618	17660	10870
619	17675	10833
620	17686	10794
621	17702	10757
622	17715	10720
623	17729	10683
624	17753	10652
625	17770	10616
626	17787	10581
627	17808	10548
628	17822	10512
629	17845	10480
630	17862	10445
631	17881	10411
632	17900	10378
633	17920	10345
634	17938	10311
635	17962	10280
636	17979	10245
637	17992	10209
638	18009	10174
639	18020	10136
640	18032	10099
641	18050	10065
642	18065	10030
643	18085	9997
644	18102	9963
645	18116	9927
646	18131	9892
647	18145	9856
648	18159	9821
649	18172	9785
650	18188	9750
651	18204	9716
